CAS,HC50,MW,AOH,BCF,BioHL,BP,HL,KM,KOA,LogP,MP,KOC,VP,WS,MoA
100-00-5,6.50E-01,2.20E+00,-1.20E+01,1.50E+00,6.86E-01,2.45E+02,-5.13E+00,-3.76E-01,4.33E+00,2.70E+00,2.46E+00,7.02E+01,-1.52E+00,-2.87E+00,2.00E+00
100-01-6,7.04E-01,2.14E+00,-1.18E+01,5.95E-01,8.23E-01,3.16E+02,-8.79E+00,-6.00E-01,6.57E+00,1.93E+00,1.28E+00,1.26E+02,-4.99E+00,-2.26E+00,5.00E+00
100-41-4,1.06E+00,2.03E+00,-1.10E+01,1.43E+00,8.32E-01,1.39E+02,-2.15E+00,-4.71E-01,3.87E+00,2.31E+00,3.17E+00,-4.54E+01,8.24E-01,-2.79E+00,1.00E+00
100-42-5,1.04E+00,2.02E+00,-1.03E+01,1.12E+00,9.02E-01,1.50E+02,-2.59E+00,-4.67E-01,3.78E+00,2.61E+00,2.93E+00,-1.77E+01,6.31E-01,-2.67E+00,1.00E+00
100-44-7,4.49E-01,2.10E+00,-1.15E+01,1.84E+00,6.90E-01,1.69E+02,-2.53E+00,-8.77E-01,4.16E+00,1.88E+00,2.45E+00,-2.87E+01,2.40E-01,-2.42E+00,2.00E+00
100-51-6,1.66E+00,2.03E+00,-1.07E+01,7.96E-01,7.31E-01,2.01E+02,-6.21E+00,-7.61E-01,4.97E+00,1.23E+00,1.20E+00,1.20E+01,-8.49E-01,-5.61E-01,3.00E+00
100-52-7,1.09E+00,2.03E+00,-1.08E+01,1.10E+00,7.48E-01,1.86E+02,-4.53E+00,-6.94E-01,3.89E+00,1.51E+00,1.44E+00,-8.52E+00,-1.40E-02,-1.33E+00,3.00E+00
101-05-3,-9.59E-01,2.44E+00,-1.12E+01,1.96E+00,5.86E-01,3.20E+02,-6.41E+00,-1.07E-01,1.10E+01,2.98E+00,3.66E+00,1.60E+02,-7.97E+00,-4.36E+00,5.00E+00
101200-48-0,1.60E+00,2.60E+00,-1.08E+01,1.90E-01,6.30E-01,2.82E+02,-1.29E+01,-6.03E-01,1.03E+01,1.70E+00,1.86E+00,1.43E+02,-9.52E+00,-3.97E+00,5.00E+00
101-21-3,5.23E-01,2.33E+00,-1.08E+01,1.30E+00,5.49E-01,2.75E+02,-8.35E+00,-1.24E+00,9.02E+00,2.42E+00,3.33E+00,4.61E+01,-3.84E+00,-3.41E+00,4.00E+00
